ST,CB,PB,GO,CA,RETURN,VOLAT
20,20,20,40,0,11.416354571909665,4.169384150774621
20,20,20,20,20,5.297214792961526,2.233870192114231
20,20,20,0,40,-0.8219249859866125,1.3540014136847927
20,20,0,60,0,16.152961412083897,5.798439630116667
20,20,0,40,20,10.033821633135773,3.8473563134893793
20,20,0,20,40,3.914681854187649,1.9661679842605626
20,20,0,0,60,-2.20445792476049,1.5816660017991468
20,0,80,0,0,1.2036535863003337,1.1867251700420625
20,0,60,20,0,5.94026042647458,2.1187480879226652
20,0,60,0,20,-0.17887935247355813,1.238746060168481
20,0,40,40,0,10.676867266648827,3.7374562221502448
20,0,40,20,20,4.557727487700703,1.809417040453421
20,0,40,0,40,-1.5614122912474215,1.4464932897492855
20,0,20,60,0,15.413474106823074,5.379724479399835
20,0,20,40,20,9.29433432787495,3.40950461879467
20,0,20,20,40,3.175194548926811,1.5599904143539858
20,0,20,0,60,-2.9439452300213134,1.7605386988597864
20,0,0,80,0,20.15008094699732,6.973273396585403
20,0,0,60,20,14.030941168049182,5.064616268495298
20,0,0,40,40,7.911801389101073,3.099485586269439
20,0,0,20,60,1.7926616101529191,1.4082241060302119
20,0,0,0,80,-4.326478168795205,2.138762551279706
0,100,0,0,0,3.9185357050786394,2.1581608402698755
0,80,20,0,0,3.1790483998178014,1.7379573175011345
0,80,0,20,0,7.915655239992048,3.1010581109629096
0,80,0,0,20,1.79651546104391,1.5803690400036603
0,60,40,0,0,2.4395610945569786,1.411571948778482
0,60,20,20,0,7.176167934731225,2.6626253739326713
0,60,20,0,20,1.0570281557830867,1.3279594928971508
0,60,0,40,0,11.912774774905472,4.258270955908835
0,60,0,20,20,5.7936349959573334,2.3703787577967046
0,60,0,0,40,-0.3255047829907909,1.3922122864641335
0,40,60,0,0,1.700073789296141,1.257653287721254
0,40,40,20,0,6.436680629470402,2.266543295977394
0,40,40,0,20,0.31754085052226344,1.2873445076612655
0,40,20,40,0,11.173287469644634,3.848293715931058
0,40,20,20,20,5.05414769069651,1.9826417110803574
0,40,20,0,40,-1.0649920882516142,1.4651143666438327
0,40,0,60,0,15.909894309818895,5.454007727710302
0,40,0,40,20,9.790754530870757,3.538488547978939
0,40,0,20,40,3.671614751922618,1.7563274828784237
0,40,0,0,60,-2.447525027025506,1.7510509592393486
0,20,80,0,0,0.9605864840353178,1.340142511735248
0,20,60,20,0,5.6971933242095645,1.9408295859385611
0,20,60,0,20,-0.4219464547385741,1.4788869549466965
0,20,40,40,0,10.433800164383825,3.4682466457573202
0,20,40,20,20,4.314660385435687,1.6837053703077036
0,20,40,0,40,-1.8044793935124517,1.7326735352843126
0,20,20,60,0,15.17040700455806,5.070423281032306
0,20,20,40,20,9.05126722560992,3.158906396520612
0,20,20,20,40,2.9321274466618092,1.507288092045659
0,20,20,0,60,-3.187012332286344,2.0635094780707575
0,20,0,80,0,19.907013844732305,6.6372715820975206
0,20,0,60,20,13.787874065784166,4.766200005036301
0,20,0,40,40,7.668734286836042,2.8723774975376295
0,20,0,20,60,1.5495945078879174,1.4466103998379598
0,20,0,0,80,-4.569545271060221,2.443863444798887
0,0,100,0,0,0.2210991787744803,1.6258926808281904
0,0,80,20,0,4.957706018948741,1.72794500720609
0,0,80,0,20,-1.1614337599993974,1.8333951469066825
0,0,60,40,0,9.694312859122988,3.130139530990952
0,0,60,20,20,3.57517308017485,1.5291390309019615
0,0,60,0,40,-2.543966698773289,2.124511795654035
0,0,40,60,0,14.43091969929722,4.71018355887945
0,0,40,40,20,8.311779920349096,2.827582060831409
0,0,40,20,40,2.1926401414009717,1.438346975433807
0,0,40,0,60,-3.9264996375471672,2.473352549269434
0,0,20,80,0,19.16752653947148,6.275099970790548
0,0,20,60,20,13.048386760523343,4.405500306031125
0,0,20,40,40,6.929246981575204,2.553916137587332
0,0,20,20,60,0.8101072026270799,1.4807226479161688
0,0,20,0,80,-5.309032576321044,2.8620119773592005
0,0,0,100,0,23.904133379645728,7.791067314690971
0,0,0,80,20,17.78499360069759,5.981579362681124
0,0,0,60,40,11.665853821749465,4.113313247609632
0,0,0,40,60,5.546714042801327,2.3222089598799904
0,0,0,20,80,-0.5724257361467977,1.6507491844144142
0,0,0,0,100,-6.691565515094923,3.279208444440509
